iso3,proGres_code,gis_name,UNSD_name,main_office,main_office_short,hcr_region,hcr_subregion,code_op,excom,globalid
LBR,LBR,Liberia,Liberia,West and Central Africa,West and Central Africa,Africa,West Africa,LBR ABC,0,{9B0A9726-6952-44B0-8E65-74E306286116}
LBY,LBY,Libya,Libya,Middle East and North Africa,Middle East and North Africa,Middle East and North Africa,North Africa,LBY ABC,0,{D4A847D2-98E0-4459-8DC1-17236BEAB9E8}
LIE,LIE,Liechtenstein,Liechtenstein,Europe,Europe,Europe,"Northern, Western, Central and Southern Europe",BEL RO ABC,0,{FF98E251-D293-447A-9773-497E9CBB9D15}
LTU,LTU,Lithuania,Lithuania,Europe,Europe,Europe,"Northern, Western, Central and Southern Europe",SWE RO ABC,0,{72A8E462-5132-472E-9BBE-EA399C33F345}
LUX,LUX,Luxembourg,Luxembourg,Europe,Europe,Europe,"Northern, Western, Central and Southern Europe",BEL RO ABC,0,{DFDA3C6D-1EC8-4767-B8FC-94546BA0CD3C}
MDG,MAD,Madagascar,Madagascar,Southern Africa,Southern Africa,Africa,Southern Africa,ZAF RO ABC,0,{3F24B173-E2F7-4518-901E-38C980E94B06}
MWI,MLW,Malawi,Malawi,Southern Africa,Southern Africa,Africa,Southern Africa,MWI ABC,0,{7D9EF118-1CA3-4F94-A357-2739F522156A}
MYS,MLS,Malaysia,Malaysia,Asia and the Pacific,Asia and the Pacific,Asia and the Pacific,South East Asia,MYS ABC,0,{949567D4-B1B1-450F-88EF-C5AC7A5F3EE6}
MDV,MDV,Maldives,Maldives,Asia and the Pacific,Asia and the Pacific,Asia and the Pacific,South East Asia,THA RO ABC,0,{4255D83C-3CDF-4055-916D-82207CB28842}
MLI,MLI,Mali,Mali,West and Central Africa,West and Central Africa,Africa,West Africa,MLI ABC,0,{1E2876D8-2ABF-4E86-BC0C-BBDD64651566}
MLT,MTA,Malta,Malta,Europe,Europe,Europe,"Northern, Western, Central and Southern Europe",ITA RO ABC,0,{897E4870-E075-44CA-AB89-2687CAC02B30}
MHL,MHL,Marshall Islands,Marshall Islands,Asia and the Pacific,Asia and the Pacific,Asia,East Asia and the Pacific,,0,{FA2DEB4E-8910-4E42-B2A0-2F35A2D7AEC8}
MTQ,MAR,Martinique (FRA),Martinique,Americas ,Americas ,The Americas,North America and the Caribbean,,0,{809879D8-9954-4266-87B4-8A13990BC9FA}
MRT,MAU,Mauritania,Mauritania,Middle East and North Africa,Middle East and North Africa,Middle East and North Africa,North Africa,MRT ABC,0,{71934B9D-1FCA-4013-ADBC-F7F8811362D1}
MUS,MTS,Mauritius,Mauritius,Southern Africa,Southern Africa,Africa,Southern Africa,ZAF RO ABC,0,{AC66C105-2C09-4CE2-8C03-BDAA3F364420}
MEX,MEX,Mexico,Mexico,Americas ,Americas ,Americas,Latin America,MEX ABC,0,{231457B7-EC13-4472-A1C4-83BE02A532B2}
FSM,FSM,Federated States of Micronesia,Micronesia (Federated States of),Asia and the Pacific,Asia and the Pacific,Asia and the Pacific,East Asia and the Pacific,AUS RO ABC,0,{9D019972-F93E-4EF9-AA87-F58CE9C14101}
MCO,MCO,Monaco,Monaco,Europe,Europe,Europe,"Northern, Western, Central and Southern Europe",FRA ABC,0,{6A13CAB1-BB2D-46D5-A5F5-C44539CFF202}
MNG,MNG,Mongolia,Mongolia,Asia and the Pacific,Asia and the Pacific,Asia and the Pacific,South East Asia,THA RO ABC,0,{DE6B741D-5272-4C0A-903A-0B9D4FD74438}
MNE,MNE,Montenegro,Montenegro,Europe,Europe,Europe,South-Eastern Europe,BIH RO ABC,0,{ECFB6B46-AC37-4834-8E13-CF87F41C75A6}
MSR,MSR,Montserrat,Montserrat,Americas ,Americas ,Americas,North America and the Caribbean,USA RO ABC,0,{5ACBF778-8673-43FF-9BA4-D73AFB8A7A15}
MAR,MOR,Morocco,Morocco,Middle East and North Africa,Middle East and North Africa,Middle East and North Africa,North Africa,MAR ABC,0,{B7C36CA5-24FB-480E-B523-5AAFBB47D849}
MOZ,MOZ,Mozambique,Mozambique,Southern Africa,Southern Africa,Africa,Southern Africa,MOZ ABC,0,{C0855A25-7531-4D45-9979-7DB636B4CFC6}
MMR,MYA,Myanmar,Myanmar,Asia and the Pacific,Asia and the Pacific,Asia and the Pacific,South East Asia,MMR ABC,0,{58A108B5-A9D1-4CFF-B0B3-5C7F28E64CA5}
NAM,NAM,Namibia,Namibia,Southern Africa,Southern Africa,Africa,Southern Africa,ZAF RO ABC,0,{494FAC65-2286-4865-97D6-95F8076D9F53}
NRU,NRU,Nauru,Nauru,Asia and the Pacific,Asia and the Pacific,Asia and the Pacific,East Asia and the Pacific,AUS RO ABC,0,{79723723-97FD-48C4-B37C-70F9E12CE1EC}
NPL,NEP,Nepal,Nepal,Asia and the Pacific,Asia and the Pacific,Asia and the Pacific,South Asia,NPL ABC,0,{308DD90D-4D79-45DC-9EE2-853D8BE2D0E8}
NLD,NET,Netherlands,Netherlands,Europe,Europe,Europe,"Northern, Western, Central and Southern Europe",BEL RO ABC,0,{70AE3BAF-79AD-4CDA-9D59-990599C292B8}
NCL,FNC,French New Caledonia (FRA),New Caledonia,Asia and the Pacific,Asia and the Pacific,Asia,East Asia and the Pacific,RBAP,0,{FBBFA340-F4E5-4DB7-A5F8-321FCF1EA632}
NZL,NZL,New Zealand,New Zealand,Asia and the Pacific,Asia and the Pacific,Asia and the Pacific,East Asia and the Pacific,AUS RO ABC,0,{256E1B22-20C1-45CA-B0DB-30E0E4AFDC39}
NIC,NIC,Nicaragua,Nicaragua,Americas ,Americas ,Americas,Latin America,PAN RO ABC,0,{654D283F-AC3A-4057-9F10-960C695FA7BC}
NER,NGR,Niger,Niger,West and Central Africa,West and Central Africa,Africa,West Africa,NER ABC,0,{0CF9B77A-97F6-4010-9990-7703BD412C64}
NGA,NIG,Nigeria,Nigeria,West and Central Africa,West and Central Africa,Africa,West Africa,NGA ABC,0,{3B100A97-3FB0-4E9F-BD49-62C4DC72E8E0}
NIU,NIU,Niue,Niue,Asia and the Pacific,Asia and the Pacific,Asia,East Asia and the Pacific,,0,{FBA1290B-3810-42DD-8A07-991F7F0CB8DE}
MKD,MCD,North Macedonia,North Macedonia,Europe,Europe,Europe,South-Eastern Europe,BIH RO ABC,0,{4837B93B-39C9-4515-98E1-C9AEC4EB87FE}
MNP,MNP,Northern Mariana Islands (USA),Northern Mariana Islands,Asia and the Pacific,Asia and the Pacific,Asia,East Asia and the Pacific,,0,{CA6CA428-9E5E-4C0F-8C9A-731556448850}
NOR,NOR,Norway,Norway,Europe,Europe,Europe,"Northern, Western, Central and Southern Europe",SWE RO ABC,0,{213DD95A-3A90-4C65-960B-B014BDBDFFFB}
OMN,OMN,Oman,Oman,Middle East and North Africa,Middle East and North Africa,Middle East and North Africa,Middle East,SAU ABC,0,{DAE9B71E-645D-429F-9B3B-9ACD40D81DDB}
PAK,PAK,Pakistan,Pakistan,Asia and the Pacific,Asia and the Pacific,Asia and the Pacific,South-West Asia,PAK ABC,0,{308BC770-E5A8-49A1-9DDC-0EAFEAC7903A}
PLW,PLW,Palau,Palau,Asia and the Pacific,Asia and the Pacific,Asia and the Pacific,East Asia and the Pacific,AUS RO ABC,0,{6EBBC92D-F9CA-4C83-AECF-948032F47E97}
PAN,PAN,Panama,Panama,Americas ,Americas ,Americas,Latin America,PAN RO ABC,0,{8068708F-96CB-464F-91CC-6EB5B1D77A3B}
PNG,PNG,Papua New Guinea,Papua New Guinea,Asia and the Pacific,Asia and the Pacific,Asia and the Pacific,East Asia and the Pacific,AUS RO ABC,0,{10D0AD95-094A-4402-812D-00F845A6B7BB}
PRY,PAR,Paraguay,Paraguay,Americas ,Americas ,Americas,Latin America,ARG RO ABC,0,{C8E3C162-9AA0-4E8F-8668-A65686FBCA37}
PER,PER,Peru,Peru,Americas ,Americas ,Americas,Latin America,PER ABC,0,{F0FF6E56-2A80-444B-BF2A-2BE3BADFBB77}
PHL,PHI,Philippines,Philippines,Asia and the Pacific,Asia and the Pacific,Asia and the Pacific,South East Asia,PHL ABC,0,{9F5A73B9-8652-4EEC-A42E-DA420FC8171F}
POL,POL,Poland,Poland,Europe,Europe,Europe,"Northern, Western, Central and Southern Europe",HUN RO ABC,0,{CD16924F-24D7-4AFC-8EE8-318A7341C386}
PRT,POR,Portugal,Portugal,Europe,Europe,Europe,"Northern, Western, Central and Southern Europe",ITA RO ABC,0,{0D8985EC-4A19-4987-9DE9-6C175D615F86}
PRI,PUE,Puerto Rico (USA),Puerto Rico,Americas ,Americas ,The Americas,North America and the Caribbean,RBAC,0,{09AB191C-FF3E-4090-B667-B0153431D711}
QAT,QAT,Qatar,Qatar,Middle East and North Africa,Middle East and North Africa,Middle East and North Africa,Middle East,SAU ABC,0,{7F578AF6-41E5-4B6A-886A-C4B2D593ED9B}
KOR,KOR,Republic of Korea,Republic of Korea,Asia and the Pacific,Asia and the Pacific,Asia and the Pacific,East Asia and the Pacific,KOR ABC,0,{F5C8C3A0-CCE1-4015-A828-4C1AAEE91295}
MDA,MDA,Republic of Moldova,Republic of Moldova,Europe,Europe,Europe,"Northern, Western, Central and Southern Europe",HUN RO ABC,0,{AD2A5A17-F11E-4AF1-A107-03FD774AAD7B}
REU,REU,Reunion (FRA),Réunion,Southern Africa,Southern Africa,Africa,Southern Africa,,0,{F2AECAFE-639C-466C-8DA1-BFBB4FBC32A6}
ROU,ROM,Romania,Romania,Europe,Europe,Europe,"Northern, Western, Central and Southern Europe",HUN RO ABC,0,{A80C3B81-63A6-4DEB-A7F2-23A58C6A71F8}
RUS,RUS,Russian Federation,Russian Federation,Europe,Europe,Europe,Eastern Europe,RUS ABC,0,{DC8D8C5C-1B96-4547-92B5-460F500ADF95}
RWA,RWA,Rwanda,Rwanda,"East and Horn of Africa, and Great Lakes","East and Horn of Africa, and Great Lakes",Africa,Central Africa and the Great Lakes,RWA ABC,0,{4022A332-4C29-4896-85A5-A3A30F1565A4}
KNA,STK,Saint Kitts and Nevis,Saint Kitts and Nevis,Americas ,Americas ,Americas,North America and the Caribbean,USA RO ABC,0,{F898C266-3F28-4E29-BE28-C8E26022A67A}
LCA,LCA,Saint Lucia,Saint Lucia,Americas ,Americas ,Americas,North America and the Caribbean,USA RO ABC,0,{05339379-15AA-4F53-A3A9-8FDE66A22271}
MAF,MAF,Saint Martin (FRA),Saint Martin (French Part),Americas ,Americas ,The Americas,North America and the Caribbean,RBAC,0,{7920F978-841A-45C4-9D66-F50742CCCB69}
VCT,VCT,Saint Vincent and the Grenadines,Saint Vincent and the Grenadines,Americas ,Americas ,Americas,North America and the Caribbean,USA RO ABC,0,{D3380BA1-6DF8-47A8-B872-0C3BE3641F73}
WSM,WES,Samoa,Samoa,Asia and the Pacific,Asia and the Pacific,Asia and the Pacific,East Asia and the Pacific,AUS RO ABC,0,{91C5399D-EE75-4407-92EC-0A6E7DC55C81}
SMR,SMA,San Marino,San Marino,Europe,Europe,Europe,"Northern, Western, Central and Southern Europe",RBE,0,{AD6B9C24-6647-453A-A97A-1B98E3A4A625}
STP,STP,Sao Tome and Principe,Sao Tome and Principe,West and Central Africa,West and Central Africa,Africa,Central Africa and the Great Lakes,COD RO ABC,0,{27A1EB71-7F04-47DA-B77F-0B7EFD75470E}
SAU,SAU,Saudi Arabia,Saudi Arabia,Middle East and North Africa,Middle East and North Africa,Middle East and North Africa,Middle East,SAU ABC,0,{35E21239-5F17-44F6-A925-6568AD6C6527}
SEN,SEN,Senegal,Senegal,West and Central Africa,West and Central Africa,Africa,West Africa,SEN RO ABC,0,{0B2D64A5-9688-473F-841B-56A13BFC8288}
SRB,SRB,Serbia*,Serbia,Europe,Europe,Europe,South-Eastern Europe,BIH RO ABC,0,{249239AA-ED76-4A7F-BB7F-77346A276397}
SYC,SEY,Seychelles,Seychelles,Southern Africa,Southern Africa,Africa,Southern Africa,ZAF RO ABC,0,{447998FD-B20A-4FAC-8F17-9547DA3D0640}
SLE,SLE,Sierra Leone,Sierra Leone,West and Central Africa,West and Central Africa,Africa,West Africa,SEN RO ABC,0,{1B94120E-897C-4B7E-AECC-23DBDFAD5FB9}
SGP,SIN,Singapore,Singapore,Asia and the Pacific,Asia and the Pacific,Asia and the Pacific,South East Asia,THA RO ABC,0,{CDD444E3-C580-4F3E-9B0B-AD572A0DBB25}
SXM,SXM,Sint Maarten (K. of the Netherland),Sint Maarten (Dutch part),Americas ,Americas ,Americas,North America and the Caribbean,USA RO ABC,0,{A222BC2E-DA13-4672-ABDE-3BD566EB24C5}
SVK,SVK,Slovakia,Slovakia,Europe,Europe,Europe,"Northern, Western, Central and Southern Europe",HUN RO ABC,0,{F90E652F-9703-4498-91CC-2D0CF3C23F67}
SVN,SVN,Slovenia,Slovenia,Europe,Europe,Europe,"Northern, Western, Central and Southern Europe",HUN RO ABC,0,{8AD40906-6499-4D6C-910C-1CC6F9A5327D}
SLB,SOL,Solomon Islands,Solomon Islands,Asia and the Pacific,Asia and the Pacific,Asia and the Pacific,East Asia and the Pacific,AUS RO ABC,0,{C6F522C2-2286-4363-898B-C98E6D6E92CC}
SOM,SOM,Somalia,Somalia,"East and Horn of Africa, and Great Lakes","East and Horn of Africa, and Great Lakes",Africa,East and Horn of Africa,SOM ABC,0,{2F24FF48-4A27-440E-9FE6-1FBCDF59E929}
ZAF,RSA,South Africa,South Africa,Southern Africa,Southern Africa,Africa,Southern Africa,ZAF RO ABC,0,{D121B258-51B6-4D5C-BFDC-B897C66C4D2B}
SGS,SGS,South Georgia and the South Sandwich Islands (GBR),South Georgia and the South Sandwich Islands,Americas ,Americas ,The Americas,North America and the Caribbean,RBAC,0,{0AC5CE35-1AF6-4FA9-B22B-FC497E9F7E53}
SSD,SSD,South Sudan,South Sudan,"East and Horn of Africa, and Great Lakes","East and Horn of Africa, and Great Lakes",Africa,East and Horn of Africa,SSD ABC,0,{EDC7E3F3-64F9-4D60-AC2E-102E79158C4B}
ESP,SPA,Spain,Spain,Europe,Europe,Europe,"Northern, Western, Central and Southern Europe",ITA RO ABC,0,{95413AF1-FA16-4EC2-9422-A35B3E219265}
LKA,LKA,Sri Lanka,Sri Lanka,Asia and the Pacific,Asia and the Pacific,Asia and the Pacific,South Asia,LKA ABC,0,{DCDF1274-E072-4E8D-B434-95A4860F47A5}
PSE,GAZ,State of Palestine,State of Palestine,Middle East and North Africa,Middle East and North Africa,Middle East and North Africa,Middle East,ISR ABC,0,{19F4A484-4887-4AB5-9922-7E9FD26A915E}
SDN,SUD,Sudan,Sudan,"East and Horn of Africa, and Great Lakes","East and Horn of Africa, and Great Lakes",Africa,East and Horn of Africa,SDN ABC,0,{58358115-E0AE-4BF9-A137-B4D65834EAA2}
SUR,SUR,Suriname,Suriname,Americas ,Americas ,Americas,North America and the Caribbean,USA RO ABC,0,{A3E2AFB6-1F9D-45F5-AEED-C4B58869216C}
SJM,SJM,Svalbard and Jan Mayen Islands (NOR),Svalbard and Jan Mayen Islands,Europe,Europe,Europe,"Northern, Western, Central and Southern Europe",RBE,0,{FE0B78EF-4BC8-44AD-816C-DF31A1ABBC93}
SWE,SWE,Sweden,Sweden,Europe,Europe,Europe,"Northern, Western, Central and Southern Europe",SWE RO ABC,0,{9F2098A0-9BE2-4BD0-AD70-8AD900279A75}
CHE,SWI,Switzerland,Switzerland,Europe,Europe,Europe,"Northern, Western, Central and Southern Europe",BEL RO ABC,0,{11DC71B1-10C3-428C-B207-109C6969F5D1}
SYR,SYR,Syrian Arab Republic,Syrian Arab Republic,Middle East and North Africa,Middle East and North Africa,Middle East and North Africa,Middle East,SYR ABC,0,{3A630B87-0BE5-4736-98CB-F760CD28B4ED}
TJK,TJK,Tajikistan,Tajikistan,Asia and the Pacific,Asia and the Pacific,Asia and the Pacific,Central Asia,TJK ABC,0,{943A70D3-2893-4385-9B2F-6455C4FBFA40}
THA,THA,Thailand,Thailand,Asia and the Pacific,Asia and the Pacific,Asia and the Pacific,South East Asia,THA ABC,0,{219BB312-E4BD-4080-8A48-D9752FA0E5F5}
TLS,TMP,Timor-Leste,Timor-Leste,Asia and the Pacific,Asia and the Pacific,Asia and the Pacific,South East Asia,THA RO ABC,0,{182F4930-E9EF-4E15-85DA-E88155F74464}
TGO,TOG,Togo,Togo,West and Central Africa,West and Central Africa,Africa,West Africa,SEN RO ABC,0,{6F6706FD-BAC9-476C-BD21-5EF3DCC2CF92}
TON,TON,Tonga,Tonga,Asia and the Pacific,Asia and the Pacific,Asia and the Pacific,East Asia and the Pacific,AUS RO ABC,0,{FA8979CD-ABD8-4B3A-8A8D-35A6E8F07CD5}
TTO,TRT,Trinidad and Tobago,Trinidad and Tobago,Americas ,Americas ,Americas,North America and the Caribbean,USA RO ABC,0,{C8C0A909-931E-4D31-B581-530E986A9D20}
TUN,TUN,Tunisia,Tunisia,Middle East and North Africa,Middle East and North Africa,Middle East and North Africa,North Africa,TUN ABC,0,{3A80A10F-471B-438A-9362-83EEFD3D562E}
TUR,TUR,Turkey,Turkey,Europe,Europe,Europe,Eastern Europe,TUR ABC,0,{412A83B4-9D25-4714-B9CD-FE1B8849D0D4}
TKM,TKM,Turkmenistan,Turkmenistan,Asia and the Pacific,Asia and the Pacific,Asia and the Pacific,Central Asia,KAZ RO ABC,0,{D64760CC-034F-45FB-BD17-D31CBB61CCDC}
TCA,TCI,Turks and Caicos Islands (GBR),Turks and Caicos Islands,Americas ,Americas ,Americas,North America and the Caribbean,USA RO ABC,0,{7D18FAEB-C9C5-4173-99CD-5A43A8A47B1F}
TUV,TUV,Tuvalu,Tuvalu,Asia and the Pacific,Asia and the Pacific,Asia,East Asia and the Pacific,,0,{AC158112-ECA3-4B26-BDA5-9AA026A45BBF}
UGA,UGA,Uganda,Uganda,"East and Horn of Africa, and Great Lakes","East and Horn of Africa, and Great Lakes",Africa,East and Horn of Africa,UGA ABC,0,{87A4B42C-43EE-4943-9990-1DE42E33AC0E}
UKR,UKR,Ukraine,Ukraine,Europe,Europe,Europe,Eastern Europe,UKR ABC,0,{A14AF3E0-A29F-443C-A154-166F4D691450}
ARE,UAE,United Arab Emirates,United Arab Emirates,Middle East and North Africa,Middle East and North Africa,Middle East and North Africa,Middle East,SAU ABC,0,{C9DFE21F-1231-408D-A742-9E87A29C627B}
GBR,GBR,United Kingdom of Great Britain and Northern Ireland,United Kingdom of Great Britain and Northern Ireland,Europe,Europe,Europe,"Northern, Western, Central and Southern Europe",GBR ABC,0,{39D38231-71AD-43AD-AFCB-23A0109492C0}
TZA,TAN,United Republic of Tanzania,United Republic of Tanzania,"East and Horn of Africa, and Great Lakes","East and Horn of Africa, and Great Lakes",Africa,Central Africa and the Great Lakes,TZA ABC,0,{697F3F7A-F194-42A1-A78A-76B8844AD67F}
USA,USA,United States of America,United States of America,Americas ,Americas ,Americas,North America and the Caribbean,USA RO ABC,0,{11F585B9-B42E-4981-ABF1-B1C25FC34F75}
URY,URU,Uruguay,Uruguay,Americas ,Americas ,Americas,Latin America,ARG RO ABC,0,{878775EE-2C00-4FD5-A987-8FD13554B3A7}
UZB,UZB,Uzbekistan,Uzbekistan,Asia and the Pacific,Asia and the Pacific,Asia and the Pacific,Central Asia,KAZ RO ABC,0,{F44664B1-90CD-4972-AC8C-0856D8EBCB24}
VUT,VAN,Vanuatu,Vanuatu,Asia and the Pacific,Asia and the Pacific,Asia and the Pacific,East Asia and the Pacific,AUS RO ABC,0,{9EBB2FB4-29A3-4FBE-AFCF-98D240A80204}
VEN,VEN,Bolivarian Republic of Venezuela,Venezuela (Bolivarian Republic of),Americas ,Americas ,Americas,Latin America,VEN ABC,0,{9C53F4C3-1773-4081-8E22-5D99A8D3F11D}
VNM,SRV,Viet Nam,Viet Nam,Asia and the Pacific,Asia and the Pacific,Asia and the Pacific,South East Asia,THA RO ABC,0,{8761ACB9-39FB-4797-932C-F09BD9F9A496}
ESH,WSH,Western Sahara,Western Sahara,Middle East and North Africa,Middle East and North Africa,Middle East and North Africa,North Africa,ESH ABC,0,{4E800B51-E782-4F7E-BF5D-4CBA2FD7FAE2}
YEM,YEM,Yemen,Yemen,Middle East and North Africa,Middle East and North Africa,Middle East and North Africa,Middle East,YEM ABC,0,{D645B3CD-DB8F-4186-B175-A989B8DCDE51}
ZMB,ZAM,Zambia,Zambia,Southern Africa,Southern Africa,Africa,Southern Africa,ZMB ABC,0,{B057B9B3-A262-46A0-B3D3-7D5A26513FD9}
ZWE,ZIM,Zimbabwe,Zimbabwe,Southern Africa,Southern Africa,Africa,Southern Africa,ZWE ABC,0,{2527DC46-0E95-4618-90A6-19EC6E7B5212}
TWN,TWN,Taiwan (CHN),,Asia and the Pacific,Asia and the Pacific,Asia,East Asia and the Pacific,,0,{282E9F17-E0A1-45A1-A614-EEB23B263960}
